Date,Open,High,Low,Close,Adj Close,Volume
2007-09-01,2323.830078,2392.919922,2266.510010,2385.719971,2385.719971,0
2007-10-01,2417.439941,2447.030029,2346.780029,2423.669922,2423.669922,0
2007-11-01,2360.209961,2379.050049,2205.489990,2322.340088,2322.340088,0
2007-12-01,2308.739990,2378.600098,2269.239990,2306.229980,2306.229980,0
2008-01-01,2273.409912,2273.409912,2060.149902,2167.899902,2167.899902,0
2008-02-01,2194.429932,2194.429932,2087.050049,2097.479980,2097.479980,0
2008-03-01,2098.639893,2135.540039,2008.709961,2088.419922,2088.419922,0
2008-04-01,2163.379883,2209.250000,2098.919922,2190.129883,2190.129883,0
2008-05-01,2228.090088,2258.739990,2179.050049,2218.500000,2218.500000,0
2008-06-01,2195.270020,2225.739990,2028.890015,2031.469971,2031.469971,0
2008-07-01,2039.660034,2040.810059,1929.849976,2014.390015,2014.390015,0
2008-08-01,2003.160034,2076.590088,1985.229980,2043.530029,2043.530029,0
2008-09-01,2035.239990,2035.239990,1765.719971,1861.439941,1861.439941,0
2008-10-01,1853.260010,1853.260010,1356.780029,1548.810059,1548.810059,0
2008-11-01,1544.910034,1608.000000,1206.040039,1437.680054,1437.680054,0
2008-12-01,1309.390015,1466.869995,1309.390015,1452.979980,1452.979980,0
2009-01-01,1499.170044,1503.869995,1296.630005,1330.510010,1330.510010,0
2009-02-01,1329.810059,1403.189941,1188.839966,1188.839966,1188.839966,0
2009-03-01,1133.430054,1349.369995,1095.040039,1292.979980,1292.979980,0
2009-04-01,1293.229980,1442.290039,1270.180054,1416.729980,1416.729980,0
2009-05-01,1416.750000,1510.800049,1405.770020,1495.969971,1495.969971,0
2009-06-01,1495.969971,1557.849976,1448.770020,1498.939941,1498.939941,0
2009-07-01,1499.109985,1627.329956,1418.500000,1612.310059,1612.310059,0
2009-08-01,1612.319946,1701.339966,1600.119995,1670.520020,1670.520020,0
2009-09-01,1670.589966,1770.020020,1624.209961,1732.859985,1732.859985,0
2009-10-01,1732.680054,1807.079956,1672.050049,1700.670044,1700.670044,0
2009-11-01,1700.719971,1830.140015,1689.489990,1802.680054,1802.680054,0
2009-12-01,1803.099976,1862.189941,1787.729980,1837.500000,1837.500000,0
2010-01-01,1867.060059,1896.979980,1767.250000,1771.400024,1771.400024,0
