Year;Month;News-Based Historical Economic Policy Uncertainty
1992;11;150,721
1992;12;121,7403
1993;1;118,0629
1993;2;140,0237
1993;3;151,8302
1993;4;132,7869
1993;5;162,9667
1993;6;164,0041
1993;7;140,9876
1993;8;156,4612
1993;9;160,5222
1993;10;111,0895
1993;11;127,702
1993;12;113,8118
1994;1;114,8393
1994;2;138,1755
1994;3;117,1124
1994;4;143,8161
1994;5;131,8824
1994;6;126,5982
1994;7;105,4429
1994;8;108,7507
1994;9;118,8548
1994;10;98,56018
1994;11;137,027
1994;12;123,533
1995;1;168,9351
1995;2;132,7646
1995;3;121,9806
1995;4;102,4195
1995;5;111,3153
1995;6;106,3512
1995;7;114,2115
1995;8;95,42843
1995;9;104,7948
1995;10;128,7166
1995;11;139,9393
1995;12;131,1463
1996;1;139,2529
1996;2;122,4437
1996;3;111,0452
1996;4;96,40575
1996;5;103,3669
1996;6;125,9617
1996;7;109,8838
1996;8;131,3466
1996;9;119,7869
1996;10;100,1403
1996;11;108,8126
1996;12;99,77458
1997;1;108,5422
1997;2;133,8032
1997;3;108,3156
1997;4;108,5877
1997;5;108,4604
1997;6;118,472
1997;7;112,5082
1997;8;89,12511
1997;9;91,3599
1997;10;137,1217
1997;11;134,3956
1997;12;147,1037
1998;1;149,6893
1998;2;145,8036
1998;3;108,0206
1998;4;112,2405
1998;5;112,62
1998;6;127,0828
1998;7;137,3308
1998;8;176,3926
1998;9;215,6543
1998;10;193,2444
1998;11;150,7712
1998;12;140,8721
1999;1;157,0579
1999;2;126,8422
1999;3;104,086
1999;4;104,4928
1999;5;99,53042
1999;6;124,4175
1999;7;129,7178
1999;8;131,2814
1999;9;118,306
1999;10;98,10404
1999;11;116,4817
1999;12;115,8472
2000;1;132,2542
2000;2;96,52474
2000;3;118,5121
2000;4;115,3583
2000;5;163,0854
2000;6;150,4915
2000;7;124,1013
2000;8;95,46384
2000;9;119,6431
2000;10;123,882
2000;11;220,8951
2000;12;200,1924
2001;1;180,5718
2001;2;173,0858
2001;3;159,6467
2001;4;179,3083
2001;5;151,6168
2001;6;118,7968
2001;7;134,4638
2001;8;135,7506
2001;9;312,6601
2001;10;288,1147
2001;11;215,0335
2001;12;192,5059
2002;1;196,6983
2002;2;135,3358
2002;3;138,048
2002;4;132,0255
2002;5;131,703
2002;6;142,0441
2002;7;171,0906
2002;8;160,7255
2002;9;182,8107
2002;10;153,0409
2002;11;199,9019
2002;12;186,535
2003;1;229,6163
2003;2;189,628
2003;3;250,3035
2003;4;207,1342
2003;5;155,9337
2003;6;133,5376
2003;7;140,2677
2003;8;123,2013
2003;9;136,3181
2003;10;116,4547
2003;11;119,528
2003;12;119,6059
2004;1;127,2515
2004;2;119,1274
2004;3;128,3321
2004;4;115,1236
2004;5;129,1554
2004;6;130,0237
2004;7;126,2766
2004;8;121,9711
2004;9;149,4003
2004;10;147,9739
2004;11;137,4283
2004;12;99,12631
2005;1;107,7261
2005;2;88,2884
2005;3;84,9016
2005;4;116,9626
2005;5;111,3989
2005;6;107,5641
2005;7;116,0698
2005;8;98,94475
2005;9;144,0083
2005;10;111,9071
2005;11;97,77718
2005;12;103,7324
2006;1;115,9712
2006;2;114,5592
2006;3;91,80544
2006;4;119,5262
2006;5;113,3266
2006;6;133,9651
2006;7;145,762
2006;8;122,71
2006;9;97,01213
2006;10;96,09818
2006;11;86,46317
2006;12;100,4216
2007;1;115,9212
2007;2;96,19244
2007;3;112,5003
2007;4;88,69787
2007;5;118,8623
2007;6;98,19871
2007;7;86,47465
2007;8;132,6673
2007;9;147,774
2007;10;128,9533
2007;11;145,6151
2007;12;157,3331
2008;1;239,6756
2008;2;148,8006
2008;3;159,3476
2008;4;144,6089
2008;5;125,6888
2008;6;130,1926
2008;7;147,2475
2008;8;120,0207
2008;9;275,0569
2008;10;297,1825
2008;11;221,9536
2008;12;187,5302
2009;1;236,5221
2009;2;233,6522
2009;3;201,7767
2009;4;143,9197
2009;5;169,1771
2009;6;139,5665
2009;7;136,7623
2009;8;160,46
2009;9;139,6517
2009;10;113,8716
2009;11;142,8999
2009;12;161,2927
2010;1;175,4479
2010;2;175,2189
2010;3;149,7556
2010;4;142,5344
2010;5;185,7758
2010;6;169,1116
2010;7;244,7457
2010;8;166,5937
2010;9;241,3432
2010;10;185,7961
2010;11;212,9394
2010;12;192,4865
2011;1;159,6118
2011;2;153,3409
2011;3;200,6276
2011;4;161,9473
2011;5;152,0862
2011;6;194,9468
2011;7;256,369
2011;8;350,7124
2011;9;259,365
2011;10;171,106
2011;11;183,1006
2011;12;237,2747
2012;1;184,2135
2012;2;148,904
2012;3;149,0519
2012;4;139,7309
2012;5;174,6353
2012;6;223,213
2012;7;214,1035
2012;8;175,5301
2012;9;201,5807
2012;10;208,9771
2012;11;250,9241
2012;12;250,9266
2013;1;247,8273
2013;2;166,8651
2013;3;188,9721
2013;4;137,23
2013;5;149,1446
2013;6;126,7343
2013;7;117,879
2013;8;150,1781
2013;9;179,0972
2013;10;286,7412
2013;11;125,6958
2013;12;163,8445
2014;1;150,5914
2014;2;121,125
2014;3;143,7684
2014;4;146,3875
2014;5;138,4337
2014;6;124,4554
2014;7;117,0047
2014;8;105,5392
2014;9;129,2255
2014;10;151,5893
